filename, lower, mouth, upper
f81d4208-c66c-4906-8ea1-d1eb0e661767_jpg.rf.1e50a1b4a6906920dab9f51d82576d16.jpg, 1, 1, 1
80_sequence80_42_jpg.rf.1e50b05ded50aeef37d4bf36111411eb.jpg, 1, 1, 1
71_sequence71_42_jpg.rf.1e7753d6095e1dfe0c67dfd076a3e0d4.jpg, 1, 1, 1
54_sequence54_28_jpg.rf.1f3974b55b4edc4fa793a92b6490d3f3.jpg, 1, 1, 1
74_sequence74_64_jpg.rf.1f43b745b3ddb647e6eb7b9a79ecc738.jpg, 1, 1, 1
35_sequence35_16_jpg.rf.1f76a3da57e53ca289c22f4322c3e9a4.jpg, 1, 1, 1
93_sequence93_24_jpg.rf.1e81df2283d2958ee62523a8d04a740d.jpg, 1, 1, 1
81_sequence81_35_jpg.rf.1f6cc69bc1850facc762b2eb4ac5c588.jpg, 1, 1, 1
506aed5e-5c0d-4bdf-a751-132400444f37_jpg.rf.1f869e978a181e6270546ffdf9f44aa8.jpg, 1, 1, 1
46_sequence46_7_jpg.rf.1fb18fb37d767d66766c5ebbd33818f0.jpg, 1, 1, 1
82_sequence82_42_jpg.rf.1fcefbba4882f85c7a642649f8de3f80.jpg, 1, 1, 1
74_sequence74_24_jpg.rf.201de01930c260e31950bbdbbdea6e57.jpg, 1, 1, 1
38_sequence38_7_jpg.rf.20468e830ddb2a498b271b77cbc82a6e.jpg, 1, 1, 1
93_sequence93_14_jpg.rf.1ec8134ac3fbbf51b7c61e8a29c1cab6.jpg, 1, 1, 1
91_sequence91_14_jpg.rf.2016311735b586f8767fdaefc7289a18.jpg, 1, 1, 1
91_sequence91_24_jpg.rf.20b75e8b89602c44bb0c15ec6487b8f4.jpg, 1, 1, 1
37_sequence37_14_jpg.rf.20b37463f51414258e32bde5f28bd0d9.jpg, 1, 1, 1
91_sequence91_28_jpg.rf.204ea21a97c9019293b5f58f98c33557.jpg, 1, 1, 1
82_sequence82_8_jpg.rf.20d5106d37294c36799d76393302cf3d.jpg, 1, 1, 1
a80941a8-0413-402b-8ff5-7469a92107d2_jpg.rf.20f6bdc19d331a5f45f992a9ca82b245.jpg, 1, 1, 1
92_sequence92_21_jpg.rf.206051bf2901af851f576efa7be93602.jpg, 1, 1, 1
61_sequence61_49_jpg.rf.20dc16b8c79a17fb639417c06e59050a.jpg, 1, 1, 1
08f5b4f7-1f92-434e-9460-f2dc492db4f0_jpg.rf.20c7da0f0420ce747423ed64b0033e72.jpg, 1, 1, 1
d3019b66-1773-417d-b16f-5d3b6681bf10_jpg.rf.20f9847d50675a3d32bdc212e7d39063.jpg, 1, 1, 1
79_sequence79_24_jpg.rf.213d4c5ed7d126bb65f060a1464a504e.jpg, 1, 1, 1
58_sequence58_35_jpg.rf.2195e44b441eb3b9379c5c5de85c2629.jpg, 1, 1, 1
78_sequence78_8_jpg.rf.21f725ca8b57b85d2d49a820d126fb67.jpg, 1, 1, 1
59_sequence59_48_jpg.rf.225c3605580cfe7a80d9fb47cdee66b2.jpg, 1, 1, 1
75426c42-644d-4d1b-8ea1-a66443426583_jpg.rf.21b7f2b8f46239ddd7d11e4d34968e03.jpg, 1, 1, 1
fca845ef-3f8f-4ccb-be82-8a0e1f418810_jpg.rf.223b47d9a3a577fd166f9d89e0ee1d85.jpg, 1, 1, 1
89_sequence89_24_jpg.rf.2151d2209b9cca96ac13b3e3ca1e0ccb.jpg, 1, 1, 1
66_sequence66_21_jpg.rf.211ae90659088a7593e3054d9badff18.jpg, 1, 1, 1
95_sequence95_35_jpg.rf.21f112495e6b64b5b42c01d02ece3ba3.jpg, 1, 1, 1
0c457138-f6bd-492c-a305-51ad8ab3e777_jpg.rf.22e7155642ba4b56578dd6eac9617c3c.jpg, 1, 1, 1
72_sequence72_21_jpg.rf.223d7571eb1c6dd3809195578b6f77d4.jpg, 1, 1, 1
71_sequence71_40_jpg.rf.22a2f670172c6e0b04c4c3faafe35763.jpg, 1, 1, 1
50_sequence50_24_jpg.rf.2104a5cb2f0d727f058b3718d1e9267a.jpg, 1, 1, 1
81_sequence81_49_jpg.rf.229263da143e624f5d9dfd10859b0d33.jpg, 1, 1, 1
41_sequence41_24_jpg.rf.22b26078552d0e52c47b2b0fdd799fe7.jpg, 1, 1, 1
56_sequence56_49_jpg.rf.2176557865e590e012fae711029b3ea1.jpg, 1, 1, 1
62_sequence62_40_jpg.rf.230e860b69e0b9e036cf091ed6f5348c.jpg, 1, 1, 1
94_sequence94_21_jpg.rf.225ee8347997fb89c83e40a9b736e64d.jpg, 1, 1, 1
2389cad8-5ef6-41dc-92f6-e1f50f95e2f1_jpg.rf.229dedf49e189b314d7f2dd7f23a843a.jpg, 1, 1, 1
89_sequence89_14_jpg.rf.2268df71726872f7d35eb072aa5e2b83.jpg, 1, 1, 1
40_sequence40_35_jpg.rf.232557ab7dfd255c2d270843b581e779.jpg, 1, 1, 1
58_sequence58_42_jpg.rf.2338c0fa36ea9e509f98f7827299b925.jpg, 1, 1, 1
39_sequence39_8_jpg.rf.23dd4f4f8400ed3103d9ef9c19a9d797.jpg, 1, 1, 1
2c6372e7-cd89-467c-aede-cc8aa1c6a3d8_jpg.rf.22fe3df1728973213aab2ff5eae6a8ae.jpg, 1, 1, 1
67_sequence67_40_jpg.rf.22c37f776909da98374c256e8efb04a0.jpg, 1, 1, 1
84_sequence84_32_jpg.rf.2334f92278a6f0a350b2c44c63e2d9a9.jpg, 1, 1, 1
65_sequence65_7_jpg.rf.23963de29f17a34433229629846b25d1.jpg, 1, 1, 1
91_sequence91_42_jpg.rf.2331388a9ba8ccac0482985f1c6aaba0.jpg, 1, 1, 1
91_sequence91_35_jpg.rf.23a78035756bd64d8085de0ad521c49e.jpg, 1, 1, 1
77_sequence77_42_jpg.rf.24133bb3d18978e0365c3c828ed98169.jpg, 1, 1, 1
68_sequence68_24_jpg.rf.239e7e96a9b9bd08a7c7870cc6e6ee59.jpg, 1, 1, 1
55_sequence55_35_jpg.rf.2413b3d26a42e93cbab2304524e9a763.jpg, 1, 1, 1
c129c71e-47b1-4d5f-8923-32a6b2b9a97a_jpg.rf.24b3026863fa6a34c790e6b58cbf7ab1.jpg, 1, 1, 1
66_sequence66_40_jpg.rf.24ed938fb386b24c8909f87369a6ba62.jpg, 1, 1, 1
68_sequence68_14_jpg.rf.2419a09e9d66e3d6222f44d653121b0d.jpg, 1, 1, 1
73_sequence73_28_jpg.rf.23be17ef24874a4deda4afd02416a7af.jpg, 1, 1, 1
30_sequence30_21_jpg.rf.2413ee58bc9aae7ccce6ac07b796acb8.jpg, 1, 1, 1
53_sequence53_14_jpg.rf.24b4bee83c1a8b95a3a1ed3ad63607f3.jpg, 1, 1, 1
78_sequence78_21_jpg.rf.25339af597197095a6a7e84a9f79779a.jpg, 1, 1, 1
c92a38eb-f6f7-49c7-b636-c21dea4840d6_jpg.rf.2458c13cbcb28f1141ac8bbfac507a86.jpg, 1, 1, 1
32_sequence32_24_jpg.rf.2277207d3d9effa79b58c7d483d1d029.jpg, 1, 1, 1
83_sequence83_32_jpg.rf.2526ce0b9d0c99be19092620fddb5a44.jpg, 1, 1, 1
